PersonID,ItemID
1,105
1,80
1,54
1,120
1,6
1,36
1,34
1,100
1,92
1,81
1,110
1,120
1,39
1,21
1,23
1,33
1,13
1,27
1,44
1,54
1,57
1,47
1,75
1,70
1,37
1,22
1,92
1,91
1,54
1,7
1,91
1,65
1,8
1,102
1,45
2,64
2,30
2,9
2,9
2,53
2,13
2,80
2,53
2,68
2,110
2,92
2,87
2,41
2,78
2,54
2,8
2,54
2,78
2,69
2,51
2,72
2,84
2,85
2,23
3,68
3,66
3,99
3,91
3,44
3,80
3,79
3,83
3,99
3,22
3,33
3,78
3,21
3,66
3,81
3,9
3,68
3,100
3,39
3,22
3,66
3,51
3,101
3,36
3,22
3,72
4,106
4,36
4,21
4,108
4,58
4,45
4,70
4,24
4,44
4,80
4,47
4,54
4,20
4,24
4,100
4,12
4,73
4,120
4,109
4,44
4,72
4,44
4,54
4,41
4,51
4,63
4,82
4,101
4,81
4,33
5,16
5,120
5,21
5,80
5,9
5,101
5,99
5,73
5,85
5,92
5,5
5,68
5,97
5,97
5,8
5,70
5,23
6,34
6,39
6,10
6,82
6,72
6,34
6,34
6,85
6,68
6,41
6,97
6,106
6,59
6,34
6,81
6,25
6,36
6,51
6,96
6,70
6,53
6,84
6,7
7,51
7,52
7,21
7,33
7,70
7,15
7,102
7,99
7,7
7,71
7,84
7,28
7,102
7,99
7,60
7,9
7,85
7,18
7,70
7,53
7,70
7,91
7,59
7,37
7,39
7,99
8,99
8,25
8,106
8,33
8,44
8,52
8,97
8,72
8,116
8,68
8,4
8,22
8,44
8,22
8,91
8,25
8,90
8,10
8,72
8,37
8,51
8,45
8,58
8,26
8,57
8,81
8,20
8,45
8,45
8,86
9,92
9,20
9,22
9,54
9,82
9,44
9,10
9,92
9,65
9,45
9,33
9,43
9,72
9,58
9,53
9,9
9,45
9,102
9,33
9,109
9,96
9,45
9,72
9,21
9,100
10,101
10,89
10,30
10,30
10,44
10,14
10,116
10,23
10,106
10,96
10,37
10,92
10,44
10,71
10,17
10,27
10,9
10,65
10,120
10,33
10,85
10,70
10,81
11,9
11,82
11,12
11,106
11,13
11,80
11,85
11,84
11,5
11,21
11,92
11,74
11,56
11,9
11,71
12,98
12,102
12,82
12,45
12,92
12,97
12,68
12,64
12,89
12,72
12,81
12,18
12,10
12,45
12,62
12,32
12,66
12,36
12,80
12,36
12,106
12,12
12,93
12,65
12,99
13,51
13,81
13,92
13,30
13,33
13,92
13,8
13,84
13,80
13,12
13,12
13,92
13,71
13,45
13,107
13,90
13,7
13,51
13,66
13,92
13,78
13,5
13,51
14,18
14,82
14,79
14,116
14,44
14,2
14,59
14,30
14,95
14,24
14,78
14,92
14,108
14,94
14,72
14,19
14,107
14,34
14,112
14,49
14,82
14,15
14,68
14,68
15,82
15,33
15,73
15,34
15,72
15,80
15,84
15,120
15,59
15,34
15,36
15,47
15,92
15,96
15,85
15,98
15,108
15,78
15,78
15,82
15,56
15,46
15,68
16,54
16,21
16,54
16,53
16,18
16,34
16,73
16,104
16,106
16,84
16,46
16,94
16,82
16,54
16,33
16,5
16,85
16,34
16,54
17,12
17,82
17,77
17,108
17,18
17,72
17,4
17,96
17,18
17,81
17,69
17,14
17,65
17,8
17,97
17,40
17,66
17,44
17,8
17,43
18,15
18,80
18,84
18,97
18,40
18,36
18,116
18,25
18,58
18,73
18,68
18,99
18,54
18,92
18,92
18,37
18,54
18,68
18,77
18,99
18,32
18,113
18,75
18,28
18,20
19,100
19,65
19,15
19,79
19,108
19,10
19,54
19,65
19,20
19,108
19,72
19,92
19,99
19,32
19,92
19,9
19,105
19,106
19,106
19,100
19,32
20,65
20,97
20,103
20,86
20,44
20,41
20,34
20,19
20,82
20,97
20,34
20,61
20,68
20,44
20,33
20,37
21,101
21,13
21,52
21,27
21,94
21,119
21,84
21,97
