1.09,1.16,0.63,1.36,3.08,4.04,2.68,4.72,3.61,4.65,2.63,1.33,1.81,3.69,2.64,3.09,2.12,1.97,3.49,2.22,2.5,1.54,1.83,2.06
1.39,1.85,0.49,1.88,2.54,3.75,3.86,5.8,4.31,4.86,2.71,2.27,2.67,3.06,2.51,3.02,5.32,2.9,1.78,3.18,6.32,1.17,1.54,0.01
-0.81,2.24,0.27,2.81,4.16,3.46,6.18,8.22,5.08,4.32,1.72,2.97,5.33,2.5,2.75,6.12,3.49,3.15,6.03,5.03,3.64,3.91,2.48,2.86
2.72,1.46,1.28,4.64,4.98,5.5,6.28,6.53,5.99,7.05,4.5,4.53,5.21,5.24,3.45,5.19,4.53,6.14,7.07,4.3,5.19,4.94,2.3,2.3
0.87,-0.49,3.59,4.59,5.12,5.96,10.02,8.8,7.38,7.73,7.29,5.32,5.15,3.64,5.7,5.58,9.37,5.91,7,8.4,6.99,4.85,2.5,0.7
0.15,2.32,4.83,4.38,7.06,8.22,9.21,9.81,8.71,8.16,7.95,7.77,7.4,7.03,9.07,6.34,6.37,7.8,5.99,6.51,8.47,3.73,2.88,2.42
4.15,2.1,5.26,5.81,9.97,9.19,11.45,10.41,9.7,10.44,8.73,8.22,8.89,7.22,7.64,7.37,9.83,7.95,7.7,6.83,8.36,4.41,2.4,2.89
3.85,2.22,8.11,7.48,8.96,11.6,10.8,9.81,9.32,11.69,8.64,9.82,10.21,12.61,10.83,8.1,8.12,6.44,6.83,5.64,5.53,5.16,2.56,2.67
4.8,6.53,5.95,7.96,10.32,12.54,11.48,9.79,10.73,9.07,11.64,10.06,8.97,11,7.82,7.96,5.95,8.85,5.08,4.77,6.33,6.31,4.36,1.7
2.96,5.28,6.87,9.09,11.65,13.44,10.99,9.63,7.86,7.06,8.08,9.76,10.35,8.65,7.19,8.45,5.17,6.89,5.22,3.83,2.83,6.43,1.9,4.27
5.14,6.45,6.46,9.96,9.42,13.37,10.66,7.91,9.51,7.53,9.07,8.41,7.9,6.72,8.63,5.95,8.63,7.17,7.47,4.66,3.61,2.27,1.5,2.01
4.04,4.27,8.2,9.7,11.23,13.66,10.14,12.21,6.38,8.72,8.54,8,7.27,9.69,4.68,5.89,6.87,4.65,3.68,4.02,2.68,1.84,0.89,3.68
4.39,3.1,5.06,7.6,8.69,10.12,10.43,8.98,9.91,10.88,7.32,8.07,5.67,8.08,6.24,5.13,3.72,4.53,2.5,3.84,3.19,4.59,2.01,2.96
3.68,3.38,2.48,8.16,5.65,9.55,8.92,10.46,9.84,9.48,8.1,9.14,4.46,3.04,3.79,2.78,3.8,7.53,2.66,3.74,1.91,1.89,1.27,-0.64
5.3,5.34,6.13,5.13,7.68,7.46,8.05,9.41,9.96,7.08,7.24,4.8,5.38,5.74,2.97,2.66,0.42,2.14,1.45,0.74,0.44,4.14,1.57,0.05
1.69,1.64,0.42,4.52,6.28,4.29,6.36,8.64,7.32,7.29,9.79,5.22,2.99,2.99,5.74,3.71,1.5,2.1,1.32,0.9,-0.02,0.68,-1.13,-0.33
