88,84,60,36,63,91,45,76,73,31,55,42,33,87,80,55,17,10,70,9,58,53,7,92
81,96,35,58,53,80,18,6,55,86,32,34,16,82,40,88,57,7,90,8,20,35,17,26
51,61,51,39,79,38,70,93,33,12,37,54,3,45,35,41,64,67,15,6,95,5,88,56
15,22,1,56,29,22,34,43,30,27,54,78,2,24,1,55,52,27,94,47,39,87,25,71
18,4,76,22,18,30,69,92,9,14,85,28,64,4,81,7,62,17,92,66,61,21,43,77
26,52,16,35,22,58,11,89,64,9,96,29,16,89,68,46,10,56,19,44,93,36,50,14
59,28,44,36,61,54,24,73,49,74,23,49,29,83,78,13,57,74,21,76,69,95,90,71
87,48,68,8,53,70,40,12,10,3,47,23,24,62,3,33,92,13,14,46,39,6,54,89
31,68,1,18,84,74,14,95,85,49,93,71,73,69,46,81,83,69,8,19,27,66,56,10
28,91,72,40,2,41,65,70,30,38,78,71,74,91,90,5,26,6,17,42,1,20,47,41
86,15,38,65,77,59,72,45,86,78,5,52,11,60,31,58,66,15,59,81,44,30,60,29
73,64,24,87,79,75,11,75,4,23,16,50,91,62,83,23,96,36,77,95,12,43,28,57
2,48,67,72,13,11,89,67,21,94,42,63,19,93,61,84,60,19,37,34,80,57,79,68
94,63,37,41,51,21,45,84,7,82,39,31,53,51,43,38,88,62,46,2,40,96,79,48
75,75,59,65,85,76,32,32,82,83,34,77,82,3,25,25,4,13,42,90,47,20,86,50
63,33,37,27,94,48,49,5,8,50,20,65,12,52,66,85,25,80,72,32,67,44,26,9
